,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
27,88,0,[13947  6785  1271 48764],0,0,True,3.9807863235473633,1.3879395723342896
28,89,0,[22672 10436 20030 32751],24,0,True,3.671492099761963,1.391433596611023
29,90,0,[ 5881  1737 28076 12454],40,2,True,3.8136541843414307,1.5322766304016113
0,91,1,[ 1773 25340 23870 48308],32,3,False,0.0,0.0
1,92,1,[ 5857 18718 22019 49423],22,1,True,3.760244846343994,1.3922702074050903
2,93,1,[38953 46769 12739 29307],2,3,False,0.0,0.0
3,94,1,[ 5902   871 35259 12940],8,0,False,0.0,0.0
4,95,1,[48485  9373 15957 20029],48,0,True,3.7083003520965576,1.7210707664489746
5,96,1,[32124   515 46873 44203],11,3,False,0.0,0.0
6,97,1,[51747  8017 25919  5319],9,2,True,3.9816739559173584,1.385930061340332
7,98,1,[43544 22495 30322 19901],42,3,False,0.0,0.0
8,99,1,[22703 35973 32747 24822],4,0,False,0.0,0.0
9,100,1,[17050 37931 39996 10538],17,3,False,0.0,0.0
10,101,1,[32171 16523  8416 39417],24,3,False,0.0,0.0
11,102,1,[42389 15227  9950 23772],39,3,True,3.975951671600342,1.3859143257141113
12,103,1,[ 4306 31965 19985 28055],46,0,False,0.0,0.0
13,104,1,[ 3729 28717 18773 51126],9,3,False,0.0,0.0
14,105,1,[21376 15623  2571 50197],30,0,False,0.0,0.0
15,106,1,[ 1740 11816 49122  5113],2,2,False,0.0,0.0
16,107,1,[41439 14211  6929 38160],36,3,False,0.0,0.0
17,108,1,[13110 10184 36405 51651],24,1,False,0.0,0.0
18,109,1,[12382 44769 15937 52094],23,2,False,0.0,0.0
19,110,1,[25442 17088 16414  4791],10,0,False,0.0,0.0
20,111,1,[35641 49293 14970 32356],30,0,False,0.0,0.0
21,112,1,[ 6050 49732 49388  1595],29,3,False,0.0,0.0
22,113,1,[38120 25611 52070 48955],12,0,False,0.0,0.0
23,114,1,[17048  8409  6583 29261],49,3,True,4.014352798461914,1.3855392932891846
24,115,1,[37139  2884 20273 52280],37,1,False,0.0,0.0
25,116,1,[14579 20233  9088 35749],4,3,False,0.0,0.0
26,117,1,[51566 31296 37406 34364],5,2,False,0.0,0.0
27,118,1,[24295 15722 43676 45156],15,3,False,0.0,0.0
28,119,1,[ 5707 18472 42108 32140],39,3,True,3.8812875747680664,1.4651870727539062
29,120,1,[ 4647 24901 11827 17799],48,2,False,0.0,0.0
0,121,0,[50009 51716 18195  7682],6,0,False,0.0,0.0
1,122,0,[19336 27617 14357 45751],22,3,False,0.0,0.0
2,123,0,[27628 45131 43823 47970],41,3,True,3.970722198486328,1.3862457275390625
3,124,0,[ 8842 25978 12954 37963],24,1,False,0.0,0.0
4,125,0,[ 1085 33100   369 40032],10,3,True,3.990358591079712,1.3867510557174683
5,126,0,[47803 15311 23581 39272],0,0,False,0.0,0.0
6,127,0,[16578 32555   729 11716],8,3,True,3.97756028175354,1.3871010541915894
7,128,0,[19823 27258 41214 38998],9,1,False,0.0,0.0
8,129,0,[23659 29334 23730 42227],24,3,False,0.0,0.0
9,130,0,[51813 39312 47243 29177],28,3,False,0.0,0.0
10,131,0,[12559 40834  1614 10109],40,2,True,3.7625343799591064,1.4019665718078613
11,132,0,[ 7214 13832 33499 24648],28,1,True,3.8339614868164062,1.5852055549621582
12,133,0,[39518 17141 32273 38321],41,3,False,0.0,0.0
13,134,0,[37088  3363 42738 15224],19,0,False,0.0,0.0
14,135,0,[12468  2268 14389 41268],33,2,False,0.0,0.0
15,136,0,[33596 35396 52069  8361],24,0,False,0.0,0.0
16,137,0,[39413 11862 42739 40150],48,2,True,3.992976188659668,1.3846824169158936
17,138,0,[23127 43632 47163  7389],16,2,False,0.0,0.0
18,139,0,[18596 19496 51891  9226],33,1,False,0.0,0.0
19,140,0,[12108 50469 19011 39565],20,1,False,0.0,0.0
20,141,0,[32790 31441  8270  8505],21,2,True,4.013225555419922,1.3857290744781494
21,142,0,[ 4915 31224 28870 34276],33,2,True,3.6682662963867188,1.3775396347045898
22,143,0,[19057 21989  3195 27339],39,2,True,4.02687931060791,1.3865578174591064
23,144,0,[ 9153 49425 35124 25227],24,3,True,3.5953962802886963,1.2678431272506714
24,145,0,[14510 16500  7108 17994],17,2,False,0.0,0.0
25,146,0,[48253 30669 49957 23450],27,3,True,3.774930953979492,1.467087745666504
26,147,0,[42749 13326 12319 22950],28,1,False,0.0,0.0
27,148,0,[ 6074 18521 28383 23599],33,3,False,0.0,0.0
28,149,0,[43508 12498 39255 13071],0,2,False,0.0,0.0
29,150,0,[36566 19891 23553 11332],36,1,False,0.0,0.0
0,151,1,[34180 10525  5296 20725],15,0,False,0.0,0.0
1,152,1,[24806  2837 14480  9353],39,3,True,3.822565793991089,1.4269800186157227
2,153,1,[18788  1555 12093 32776],39,2,False,0.0,0.0
3,154,1,[16029 13613  6204 41884],26,0,False,0.0,0.0
4,155,1,[44368 11403 13473 28401],26,3,False,0.0,0.0
5,156,1,[17837 48420 39621 33648],47,2,False,0.0,0.0
6,157,1,[47630  4358  3344  6225],5,0,False,0.0,0.0
7,158,1,[13694 20001 30548 18205],2,1,True,3.9851646423339844,1.3858051300048828
8,159,1,[25784 15799 31577 49943],5,1,False,0.0,0.0
9,160,1,[51160 30991  3766 47355],44,2,False,0.0,0.0
10,161,1,[29134 25988 23636 24119],20,3,True,3.996626853942871,1.3843070268630981
11,162,1,[  394 21745 13535  6233],32,1,False,0.0,0.0
12,163,1,[11793  5040 15442 48995],29,2,False,0.0,0.0
13,164,1,[ 8102 29436 10376 44007],42,0,True,3.6794769763946533,1.558118462562561
14,165,1,[16769 18603  9031  9741],43,1,False,0.0,0.0
15,166,1,[30041 40272  4113 32051],33,0,False,0.0,0.0
16,167,1,[52332 51096 19625 25185],48,1,False,0.0,0.0
17,168,1,[36810  5206 32697 36025],10,1,False,0.0,0.0
18,169,1,[ 6628 14623 50198 10349],26,3,True,4.033336639404297,1.3885902166366577
19,170,1,[32483 41796 36663 26015],38,3,False,0.0,0.0
20,171,1,[ 2362 32346 37366  3880],27,1,True,4.079662799835205,1.385232925415039
21,172,1,[40339 37281 37752 47726],3,0,False,0.0,0.0
22,173,1,[32841 42589 19208 39058],6,1,False,0.0,0.0
23,174,1,[44168 44838 17122 51035],9,2,False,0.0,0.0
24,175,1,[22596 37254  6780 24570],20,1,False,0.0,0.0
25,176,1,[17738 12368   746 37323],41,2,True,3.987597703933716,1.3887851238250732
26,177,1,[45338 51386 37713 29628],18,2,False,0.0,0.0
27,178,1,[23060 35146 32514  2418],20,0,True,3.89678692817688,1.4487199783325195
28,179,1,[24269 29833 25645 13903],1,0,False,0.0,0.0
29,180,1,[45254 38994 35784 11342],21,0,False,0.0,0.0
0,181,0,[16842 22081 46917 50895],30,2,False,0.0,0.0
1,182,0,[34181 34766 31586 35915],30,0,False,0.0,0.0
2,183,0,[17380  7335    49 10717],31,1,True,3.6636104583740234,1.1386592388153076
3,184,0,[ 2086  3038 14911 48763],19,1,True,4.179249286651611,1.3864244222640991
4,185,0,[  266 23043  2261  2519],11,2,False,0.0,0.0
5,186,0,[12156 32556 47317 35423],46,1,False,0.0,0.0
6,187,0,[42587 31332 39379  5790],46,2,False,0.0,0.0
7,188,0,[38338 13760  9805 28051],1,2,False,0.0,0.0
8,189,0,[36522 11773 28239 42384],44,3,False,0.0,0.0
9,190,0,[50964  5864  3561 35083],24,3,False,0.0,0.0
10,191,0,[16253 35356  9792 42554],32,2,True,4.018161296844482,1.3872019052505493
11,192,0,[46523 45025  3686 19073],0,0,False,0.0,0.0
12,193,0,[42300 42345 10325 50099],41,3,False,0.0,0.0
13,194,0,[26331 49962 35060 31916],40,0,False,0.0,0.0
14,195,0,[ 3574 18594  2284 38017],27,0,False,0.0,0.0
15,196,0,[23726 31901 36531 22462],32,3,False,0.0,0.0
16,197,0,[15904 37268 16471 20471],27,2,False,0.0,0.0
17,198,0,[52393 16435 42612  5552],16,2,True,4.077208042144775,1.3840208053588867
18,199,0,[17545 18258 43034 13828],28,1,False,0.0,0.0
19,200,0,[33323 17437 41648 10304],39,2,False,0.0,0.0
20,201,0,[20151 32273 32504 24778],43,0,True,4.062526702880859,1.3888914585113525
21,202,0,[11991  2440 17334  4821],49,0,True,3.244675397872925,1.3574036359786987
22,203,0,[35988 26734 45420 51014],10,3,False,0.0,0.0
23,204,0,[13153  2277 44268 25089],18,1,False,0.0,0.0
24,205,0,[31764 27190  6897 50716],42,0,False,0.0,0.0
25,206,0,[48365 23714  4456 32074],0,1,False,0.0,0.0
26,207,0,[39446 45663 41102 38979],26,1,False,0.0,0.0
27,208,0,[18498 28431 49710 37624],40,2,False,0.0,0.0
28,209,0,[47627 30427 32402  6475],40,0,False,0.0,0.0
29,210,0,[ 3141 21926 39660 14347],14,2,False,0.0,0.0
0,211,1,[48413 22637 27268 43806],27,1,False,0.0,0.0
1,212,1,[15829 34547 30250 15366],47,1,False,0.0,0.0
2,213,1,[41009 35234  9462 33989],45,2,False,0.0,0.0
3,214,1,[21293 29405  1486 25418],35,0,True,3.9802308082580566,1.3872870206832886
4,215,1,[39822 16992 21729  6428],24,2,False,0.0,0.0
5,216,1,[ 6933 40131 47847 42034],11,0,False,0.0,0.0
6,217,1,[42053 10430  5405 37440],10,0,True,4.01484489440918,1.389278769493103
7,218,1,[14323 31088  1252 24164],4,3,True,3.9657280445098877,1.387373924255371
8,219,1,[ 8357 30070 45714 48634],37,2,False,0.0,0.0
9,220,1,[23306  9746 36441 22795],2,3,False,0.0,0.0
10,221,1,[17647 18743 37887 50519],0,3,False,0.0,0.0
11,222,1,[46605 24600 19051  2351],10,3,True,3.9424829483032227,1.769858479499817
12,223,1,[  585 14759 12208 45790],12,0,False,0.0,0.0
13,224,1,[40115 29779 22726 12573],15,3,False,0.0,0.0
14,225,1,[37816 38171 17396 41621],1,1,False,0.0,0.0
15,226,1,[ 7693 44179 42057 27204],22,0,False,0.0,0.0
16,227,1,[20713 48000 14158 25512],18,1,False,0.0,0.0
17,228,1,[ 2609 45209 28322 37688],26,0,False,0.0,0.0
18,229,1,[ 6940 37854 49501  6104],35,1,False,0.0,0.0
19,230,1,[ 3811 33669  8726 10795],48,0,False,0.0,0.0
20,231,1,[23473 28360 44807 22400],33,3,False,0.0,0.0
21,232,1,[ 9377  5009 23868 27238],27,3,False,0.0,0.0
22,233,1,[25069 29466 11482  1706],30,1,False,0.0,0.0
23,234,1,[22837  6495 21757 12645],22,3,False,0.0,0.0
24,235,1,[ 7200 37633 25786  5196],42,0,False,0.0,0.0
25,236,1,[32138 32023 34466 37666],14,2,True,3.984184503555298,1.3852893114089966
26,237,1,[14416 44065 16401 15443],22,0,False,0.0,0.0
27,238,1,[ 1864  3518 16358 10066],15,1,True,4.008682727813721,1.384566307067871
