,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
29,60,1,[22725 10835 47675 11535],17,0,False,0.0,0.0,0.0,0.0
0,61,0,[46615   418 35010 35733],44,2,False,0.0,0.0,0.0,0.0
1,62,0,[14650 32723 40839 18220],27,2,True,3.607281446456909,1.3825414180755615,3.5047736167907715,1.3556954860687256
2,63,0,[38584 45531     7 21460],48,1,True,3.5596232414245605,1.3741849660873413,3.4517159461975098,1.45017409324646
3,64,0,[15311 49338 42816 41529],44,2,False,0.0,0.0,0.0,0.0
4,65,0,[49493  6647 46830  9976],11,1,False,0.0,0.0,0.0,0.0
5,66,0,[49439 23490 32446 25353],32,3,False,0.0,0.0,0.0,0.0
6,67,0,[22368 32580 47133 16115],43,2,True,3.560467481613159,1.2935903072357178,3.5108282566070557,1.6977356672286987
7,68,0,[14916 43180 10407  3454],0,3,False,0.0,0.0,0.0,0.0
8,69,0,[30803 10724 29101 33607],2,0,True,4.136857032775879,1.387337327003479,4.12280797958374,1.3863320350646973
9,70,0,[29357 15708 24487 22858],28,2,False,0.0,0.0,0.0,0.0
10,71,0,[46974 39690 52054 49397],34,2,False,0.0,0.0,0.0,0.0
11,72,0,[ 3228 49415 14530  7475],34,3,False,0.0,0.0,0.0,0.0
12,73,0,[28377 27776 10597 44474],45,2,False,0.0,0.0,0.0,0.0
13,74,0,[12015 10066 10850 15915],10,3,True,4.31444787979126,1.3849338293075562,4.569595813751221,1.3855096101760864
14,75,0,[35335  6382 42669  5124],34,3,False,0.0,0.0,0.0,0.0
15,76,0,[38183 31030 47058 11446],38,0,True,3.3643343448638916,1.0082392692565918,3.4203076362609863,0.8502197265625
16,77,0,[43317 42593 36248  6799],35,3,True,4.234598159790039,1.3886923789978027,4.254610538482666,1.3864474296569824
17,78,0,[26676 24767  5329 46625],23,2,True,4.227362155914307,1.3866361379623413,4.146118640899658,1.3866852521896362
18,79,0,[ 1159 11987 32865  8136],25,1,True,4.244311809539795,1.3860969543457031,4.3404645919799805,1.3867050409317017
19,80,0,[40247  5945 22447 38993],9,1,False,0.0,0.0,0.0,0.0
20,81,0,[22762   699 36250  8597],22,0,False,0.0,0.0,0.0,0.0
21,82,0,[11514 17215 49669 40606],12,2,False,0.0,0.0,0.0,0.0
22,83,0,[36511 20906  7266 34564],4,0,False,0.0,0.0,0.0,0.0
23,84,0,[10887   184  1499 15385],7,1,False,0.0,0.0,0.0,0.0
24,85,0,[40307 14903 27189 16267],32,2,False,0.0,0.0,0.0,0.0
25,86,0,[25213 25373 48374  8144],38,3,False,0.0,0.0,0.0,0.0
26,87,0,[ 3282 25924  4644 35839],2,2,False,0.0,0.0,0.0,0.0
27,88,0,[39363  8843 36317 10447],16,3,False,0.0,0.0,0.0,0.0
28,89,0,[12192 43285  5515  6494],10,1,False,0.0,0.0,0.0,0.0
29,90,0,[38335 43149 50118 31236],15,3,True,4.054678440093994,1.3859918117523193,4.0552473068237305,1.3883229494094849
0,91,1,[35047 14055  4521 47413],6,0,False,0.0,0.0,0.0,0.0
1,92,1,[ 6048 50735  1839 17426],42,2,True,4.0558762550354,1.3846980333328247,4.075658798217773,1.3850302696228027
2,93,1,[41773 21075 13024 15825],16,3,True,3.84543776512146,1.2679299116134644,3.761963129043579,1.2458910942077637
3,94,1,[44378 41990 44277 46470],33,1,False,0.0,0.0,0.0,0.0
4,95,1,[ 2750 43925 31403 45986],43,3,False,0.0,0.0,0.0,0.0
5,96,1,[39293 21972 38210 39955],31,1,False,0.0,0.0,0.0,0.0
6,97,1,[ 4644 16593 15828  2811],1,2,False,0.0,0.0,0.0,0.0
7,98,1,[36325 41995 15471 23451],42,2,False,0.0,0.0,0.0,0.0
