,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_mean,symbol_histogram_std
0,train,models/local_only,False,200822-135127-swi-4-Fal-50-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,8790,14190,0.6566666666666666,0.0,20.0,30.607188698082023
1,train,models/local_only,False,200822-135706-swi-4-gib-50-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,52680,67470,0.6583333333333332,21.0,20.0,4.857983120596447
2,train,models/local_only,False,200822-142250-swi-4-Fal-20-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,12360,21600,0.6599999999999999,0.5,20.0,30.574499178236753
3,train,models/local_only,False,200822-143100-swi-4-gib-20-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,67200,,0.5383333333333333,19.5,20.0,5.761944116355173
4,train,models/local_only,False,200822-145955-swi-4-Fal-100-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,13530,17400,0.6566666666666667,0.0,20.0,26.359059163786554
5,train,models/local_only,False,200822-150632-swi-4-gib-100-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,38970,60720,0.6566666666666665,19.5,20.0,5.039841267341661
6,train,models/local_only,False,200822-153012-swi-4-Fal-50-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,11490,17520,0.6583333333333332,0.0,20.0,29.058561561095896
7,train,models/local_only,False,200822-153652-swi-4-gib-50-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,33060,69810,0.6583333333333334,20.5,20.0,8.717797887081348
8,train,models/local_only,False,200822-160412-swi-4-Fal-20-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,14880,23700,0.6599999999999999,2.0,20.0,28.879058156387302
9,train,models/local_only,False,200822-161318-swi-4-gib-20-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,51900,70290,0.6566666666666665,20.0,20.0,7.26636084983398
10,train,models/local_only,False,200822-164051-swi-4-Fal-100-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,False,0.0,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,9480,16710,0.6616666666666665,2.5,20.0,28.259511673063283
11,train,models/local_only,False,200822-164717-swi-4-gib-100-20,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,60960,,0.5933333333333334,19.5,20.0,5.253570214625479
12,train,models/local_only,False,200822-171652-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,12030,16140,0.6566666666666665,0.0,20.0,30.88365263371546
13,train,models/local_only,False,200822-172307-swi-4-gib-50-41,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,41,binary_crossentropy,sample,linear,True,False,softmax,True,48900,62400,0.6649999999999999,20.5,20.0,7.252585745787498
14,train,models/local_only,False,200822-174744-swi-4-Fal-20-42,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,False,0.0,informed,42,binary_crossentropy,sample,linear,True,False,softmax,True,12750,16590,0.6616666666666666,0.0,20.0,31.167290546340404
15,train,models/local_only,False,200822-175409-swi-4-gib-20-43,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,gibbs,0.1,informed,43,binary_crossentropy,sample,linear,True,False,softmax,True,49830,66180,0.6566666666666665,20.0,20.0,6.603029607687671
16,train,models/local_only,False,200822-182023-swi-4-Fal-100-44,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,False,0.0,informed,44,binary_crossentropy,sample,linear,True,False,softmax,True,7680,14430,0.6583333333333332,0.0,20.0,25.849564793241687
17,train,models/local_only,False,200822-182600-swi-4-gib-100-45,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,gibbs,0.1,informed,45,binary_crossentropy,sample,linear,True,False,softmax,True,43890,67770,0.6599999999999999,18.0,20.0,6.913754406977442
