,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200908-200135-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,13050,16110,0.9683333333333334,0.0,19.6
1,train,models/local_only,False,200908-202048-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,6810,10440,0.9716666666666665,0.0,19.678414570284875
2,train,models/local_only,False,200908-204003-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,8100,11550,0.9466666666666665,0.0,19.6
3,train,models/local_only,False,200908-205913-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,6630,10320,0.9633333333333333,0.0,19.621416870348583
4,train,models/local_only,False,200908-211838-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,27330,35610,0.9616666666666666,0.0,11.384199576606166
5,train,models/local_only,False,200908-213823-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,40590,,0.9066666666666668,0.0,14.066982618884548
6,train,models/local_only,False,200908-215807-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,39210,,0.9316666666666669,0.0,12.13260071048248
7,train,models/local_only,False,200908-221745-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,26100,38340,0.9549999999999998,0.0,8.126499861564017
8,train,models/local_only,False,200908-223737-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,18180,22590,0.945,0.0,13.714226190347015
9,train,models/local_only,False,200908-225725-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,14730,17250,0.9666666666666668,0.0,13.815932831336434
