,sender_name,receiver_name,active_images,target_image,chosen_symbol,chosen_symbol_p,chosen_image,chosen_image_p,chosen_image_index,success
0,01.sender,02.receiver,993:1276:654:1674,993,0,0.3216354250907898,993,0.36089077591896057,1,1
1,01.sender,02.receiver,1775:2151:2097:1059,1775,4,0.3790821135044098,1775,0.39652594923973083,0,1
2,01.sender,02.receiver,1651:39:721:2056,1651,5,0.17863497138023376,2056,0.2719080150127411,3,0
3,01.sender,02.receiver,2143:840:104:1422,2143,2,0.9910276532173157,1422,0.4036722183227539,2,0
4,01.sender,02.receiver,102:17:455:1285,102,4,0.6626201272010803,102,0.29382044076919556,0,1
5,01.sender,02.receiver,1506:1549:1971:1859,1506,0,0.17238600552082062,1971,0.41725069284439087,1,0
6,01.sender,02.receiver,777:1359:1466:219,777,2,0.8364314436912537,1359,0.33090272545814514,0,0
7,01.sender,02.receiver,1080:342:1337:2094,1080,4,0.9134416580200195,1080,0.40322110056877136,0,1
8,01.sender,02.receiver,1756:770:1247:2165,1756,2,0.8835427165031433,1247,0.3473760187625885,3,0
9,01.sender,02.receiver,1242:19:948:1936,1242,2,0.557213306427002,1242,0.4329586327075958,2,1
10,01.sender,02.receiver,2036:432:191:575,2036,0,0.8257454633712769,191,0.3819548189640045,1,0
11,01.sender,02.receiver,2095:2163:766:250,2095,4,0.19056034088134766,2095,0.35467615723609924,0,1
12,01.sender,02.receiver,1698:1747:817:164,1698,0,0.8667149543762207,817,0.3589686155319214,3,0
13,01.sender,02.receiver,1512:191:1100:441,1512,4,0.6551452875137329,1512,0.41806286573410034,2,1
14,01.sender,02.receiver,294:1842:483:397,294,4,0.46169450879096985,294,0.33945441246032715,1,1
15,01.sender,02.receiver,1375:592:1000:520,1375,0,0.34118640422821045,1000,0.40222468972206116,3,0
16,01.sender,02.receiver,1140:286:1546:1771,1140,2,0.3635919392108917,1771,0.36850160360336304,2,0
17,01.sender,02.receiver,1275:1413:1735:1807,1275,4,0.9879217743873596,1275,0.5558022856712341,1,1
18,01.sender,02.receiver,214:960:587:1747,214,4,0.2510432302951813,214,0.4358280897140503,2,1
19,01.sender,02.receiver,42:1833:284:955,42,4,0.42070871591567993,955,0.3984285891056061,0,0
20,02.sender,01.receiver,946:1627:1758:1429,946,2,0.4017278552055359,1758,0.35279005765914917,0,0
21,02.sender,01.receiver,817:1648:1897:2181,817,0,0.4493614733219147,1648,0.5241765379905701,1,0
22,02.sender,01.receiver,820:1685:826:22,820,2,0.36947906017303467,1685,0.32332277297973633,1,0
23,02.sender,01.receiver,554:1223:648:1754,554,2,0.36996352672576904,554,0.307730108499527,0,1
24,02.sender,01.receiver,1189:549:576:1302,1189,0,0.41363757848739624,1302,0.5201500058174133,2,0
25,02.sender,01.receiver,1288:1771:1000:1591,1288,0,0.4164315462112427,1591,0.5868443846702576,0,0
26,02.sender,01.receiver,964:220:1255:2038,964,0,0.4047967791557312,220,0.4629014730453491,2,0
27,02.sender,01.receiver,1442:1067:133:1597,1442,0,0.4005514979362488,1597,0.4192638397216797,0,0
28,02.sender,01.receiver,7:119:1036:1120,7,0,0.47267934679985046,7,0.4461576044559479,3,1
29,02.sender,01.receiver,247:2105:1829:1315,247,0,0.4544227719306946,1315,0.44979217648506165,2,0
30,02.sender,01.receiver,2119:624:211:62,2119,0,0.3758505880832672,62,0.8115521669387817,3,0
31,02.sender,01.receiver,852:907:11:1302,852,0,0.4516776502132416,11,0.7369160056114197,2,0
32,02.sender,01.receiver,157:860:315:426,157,2,0.4174984395503998,426,0.3747861683368683,2,0
33,02.sender,01.receiver,276:1927:484:388,276,0,0.35767704248428345,388,0.48066461086273193,1,0
34,02.sender,01.receiver,709:957:2027:1650,709,0,0.420523077249527,1650,0.491742342710495,3,0
35,02.sender,01.receiver,1328:2027:806:1190,1328,2,0.3826228380203247,2027,0.44051772356033325,2,0
36,02.sender,01.receiver,969:1903:1394:1021,969,0,0.3867330849170685,1903,0.48996061086654663,1,0
37,02.sender,01.receiver,714:1127:899:790,714,0,0.4038700461387634,899,0.26548704504966736,2,0
38,02.sender,01.receiver,1334:153:1119:244,1334,2,0.5317528247833252,244,0.4972638785839081,2,0
39,02.sender,01.receiver,1699:1500:1443:2085,1699,2,0.3462788462638855,2085,0.31694599986076355,0,0
40,01.sender,02.receiver,364:2030:189:1556,364,0,0.2954261898994446,1556,0.5807296633720398,1,0
41,01.sender,02.receiver,576:265:1601:1854,576,4,0.31962499022483826,265,0.3183348476886749,0,0
42,01.sender,02.receiver,1359:85:573:877,1359,0,0.9362249374389648,1359,0.4684862494468689,1,1
43,01.sender,02.receiver,100:1814:650:533,100,4,0.7933868169784546,100,0.4828043580055237,3,1
44,01.sender,02.receiver,211:934:29:1601,211,0,0.5560832619667053,1601,0.39754995703697205,2,0
45,01.sender,02.receiver,247:1865:428:365,247,2,0.3154047429561615,1865,0.7008199095726013,1,0
46,01.sender,02.receiver,1187:2090:1941:395,1187,2,0.47456830739974976,2090,0.36613237857818604,3,0
47,01.sender,02.receiver,225:579:1275:1973,225,0,0.5652830600738525,225,0.6027925610542297,2,1
48,01.sender,02.receiver,1445:548:1837:793,1445,4,0.42664340138435364,1837,0.36550846695899963,3,0
49,01.sender,02.receiver,1999:1461:1645:687,1999,4,0.36236801743507385,687,0.2814161479473114,2,0
50,01.sender,02.receiver,831:2085:757:2138,831,4,0.8584050536155701,2138,0.6669816374778748,0,0
51,01.sender,02.receiver,2023:1354:916:641,2023,4,0.3655726909637451,2023,0.367801308631897,2,1
52,01.sender,02.receiver,1659:2054:725:299,1659,0,0.9413836002349854,1659,0.38115954399108887,2,1
53,01.sender,02.receiver,110:1132:44:334,110,0,0.3059295117855072,44,0.6602668762207031,3,0
54,01.sender,02.receiver,1885:562:1331:1186,1885,4,0.38490548729896545,1885,0.453993558883667,3,1
55,01.sender,02.receiver,1000:50:484:1919,1000,2,0.3004207909107208,1919,0.4347129464149475,1,0
56,01.sender,02.receiver,1251:305:948:857,1251,0,0.6043380498886108,857,0.37731027603149414,0,0
57,01.sender,02.receiver,782:1897:1384:282,782,0,0.2987799346446991,282,0.4960528016090393,1,0
