,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200910-012106-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,False,old,True,False,24750,34410,0.9400000000000001,1.0,6.48999229583518
1,train,models/local_only,False,200910-014051-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,False,old,True,False,,,0.8466666666666669,1.0,8.054812226240907
2,train,models/local_only,False,200910-020018-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,True,softmax,False,old,True,False,24150,30900,0.9699999999999998,1.0,5.192301994298868
3,train,models/local_only,False,200910-021951-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,False,old,True,False,42810,,0.9166666666666666,1.0,7.581556568409946
4,train,models/local_only,False,200910-023928-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,False,old,True,False,,,0.355,4.0,3.1749015732775088
5,train,models/local_only,False,200910-025942-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,False,old,True,False,,,0.37499999999999994,2.0,4.123105625617661
6,train,models/local_only,False,200910-032008-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,True,softmax,False,old,True,False,,,0.3949999999999999,3.5,3.6386810797320503
7,train,models/local_only,False,200910-034031-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,False,old,True,False,44610,,0.6716666666666664,1.0,5.388877434122992
