,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
0,1,0,[ 5615 20554],12,1,True,3.932965040206909,0.6931084394454956
1,2,0,[11376 52141],6,1,True,3.9010579586029053,0.6930896043777466
2,3,0,[50245 38521],48,1,True,3.9224014282226562,0.6930829286575317
3,4,0,[ 7900 29293],22,0,True,3.9299588203430176,0.6930404901504517
4,5,0,[52313 35460],46,1,True,3.967041015625,0.6930007934570312
5,6,0,[14156 11117],11,0,False,0.0,0.0
6,7,0,[ 2859 48315],40,1,True,3.966707706451416,0.6929298639297485
7,8,0,[36738 23730],49,0,False,0.0,0.0
8,9,0,[12390 44631],25,0,False,0.0,0.0
9,10,0,[21535 27537],41,1,False,0.0,0.0
10,11,0,[6122 3361],43,0,False,0.0,0.0
11,12,0,[34150 16796],29,1,True,4.058956146240234,0.6932945847511292
12,13,0,[19386 43841],17,1,True,4.066612243652344,0.6932216882705688
13,14,0,[20194 19227],13,0,False,0.0,0.0
14,15,0,[27632 31076],43,0,False,0.0,0.0
15,16,0,[18949 51159],27,0,False,0.0,0.0
16,17,0,[33221 24487],14,1,True,4.120855331420898,0.6931735277175903
17,18,0,[27440 33477],16,1,False,0.0,0.0
18,19,0,[8739 9487],28,0,False,0.0,0.0
19,20,0,[51191 13979],38,1,True,4.132830619812012,0.6931800842285156
20,21,0,[29282   574],11,0,False,0.0,0.0
21,22,0,[ 8475 19994],10,1,False,0.0,0.0
22,23,0,[30448  6791],0,0,False,0.0,0.0
23,24,0,[ 6245 32400],34,0,False,0.0,0.0
24,25,0,[29753 34386],21,0,False,0.0,0.0
25,26,0,[ 6288 12895],37,1,True,4.11494779586792,0.6928322911262512
26,27,0,[19342  1473],33,1,True,4.111095428466797,0.6931253671646118
27,28,0,[ 1211 24889],18,1,False,0.0,0.0
28,29,0,[11829 25183],47,0,True,4.096569538116455,0.6929358243942261
29,30,0,[39807 35609],18,1,False,0.0,0.0
0,31,1,[28271 37923],22,1,True,3.906362295150757,0.6933929920196533
1,32,1,[29621 46431],2,0,False,0.0,0.0
2,33,1,[34029  2707],0,0,True,3.927504301071167,0.6915529370307922
3,34,1,[9220 4491],15,1,True,3.9328205585479736,0.6926218271255493
4,35,1,[26841   417],1,1,False,0.0,0.0
5,36,1,[41819 24100],22,0,True,3.1560680866241455,0.6911783814430237
6,37,1,[29524 11915],12,0,True,3.984642505645752,0.6931416988372803
7,38,1,[ 6854 49527],36,1,False,0.0,0.0
8,39,1,[ 7684 23979],19,1,False,0.0,0.0
9,40,1,[18694 21764],19,0,False,0.0,0.0
10,41,1,[27144 28461],36,1,False,0.0,0.0
11,42,1,[35722 22568],37,0,False,0.0,0.0
12,43,1,[ 5971 17109],23,1,False,0.0,0.0
13,44,1,[22595 13701],5,0,False,0.0,0.0
14,45,1,[12384 12633],9,0,False,0.0,0.0
15,46,1,[16017  6680],13,0,True,4.4718546867370605,0.6933403611183167
16,47,1,[31938  4734],27,1,False,0.0,0.0
17,48,1,[ 6295 34234],37,0,False,0.0,0.0
18,49,1,[20009 32386],25,1,True,4.605942249298096,0.6934136152267456
19,50,1,[47859 49261],8,0,True,4.577125549316406,0.6934808492660522
20,51,1,[16803 39004],15,0,False,0.0,0.0
21,52,1,[52129 24644],1,1,False,0.0,0.0
22,53,1,[48294 36386],42,1,False,0.0,0.0
23,54,1,[28592 37067],45,1,False,0.0,0.0
24,55,1,[11633 12039],28,0,True,4.427721977233887,0.6945014595985413
25,56,1,[16478 25761],7,1,False,0.0,0.0
26,57,1,[34978 45861],9,0,True,4.365911960601807,0.6931384801864624
27,58,1,[ 2221 25593],16,0,True,4.37699556350708,0.6910828351974487
28,59,1,[39814  5488],2,0,True,4.2128472328186035,0.6924502849578857
29,60,1,[16811 12646],23,0,True,4.268869400024414,0.6929733753204346
0,61,0,[42967 23421],11,0,False,0.0,0.0
1,62,0,[25112 47637],4,0,False,0.0,0.0
2,63,0,[ 9346 14539],0,0,False,0.0,0.0
3,64,0,[40655 28981],24,0,True,3.971250534057617,0.6927579045295715
4,65,0,[21534 15609],7,0,True,3.9855129718780518,0.6920120120048523
5,66,0,[43101  3179],1,0,False,0.0,0.0
6,67,0,[14739  5851],29,1,False,0.0,0.0
7,68,0,[48152 24801],18,1,True,3.979137897491455,0.6929938793182373
8,69,0,[ 9587 41204],35,0,True,3.968924045562744,0.6948385834693909
9,70,0,[46452  2946],35,0,False,0.0,0.0
10,71,0,[26735 31201],46,0,False,0.0,0.0
11,72,0,[48112 37788],34,0,False,0.0,0.0
12,73,0,[13793 49346],3,1,True,3.9782519340515137,0.6949115991592407
13,74,0,[35849 47460],48,0,False,0.0,0.0
14,75,0,[10283 22603],43,0,True,3.9923064708709717,0.6936967968940735
15,76,0,[50937  1614],29,0,False,0.0,0.0
16,77,0,[23340 27491],45,0,True,3.984133005142212,0.6934791207313538
17,78,0,[44392 22661],45,0,False,0.0,0.0
18,79,0,[47518 47914],46,1,True,3.767432689666748,0.6741992831230164
19,80,0,[19188 32043],28,0,True,3.9563252925872803,0.6930937767028809
20,81,0,[29807 22980],43,0,False,0.0,0.0
21,82,0,[24820   845],8,0,True,3.9842145442962646,0.693541407585144
22,83,0,[14000 48393],34,1,True,3.9655117988586426,0.6888978481292725
23,84,0,[41520 12576],1,0,False,0.0,0.0
24,85,0,[15553 25103],49,0,True,3.9834580421447754,0.6939663290977478
25,86,0,[20338 43796],47,1,False,0.0,0.0
