algorithm,analysis_window,batch_size,dataset,early_stopping_minimum,early_stopping_patience,embedding_size,exploration_decay,exploration_floor,exploration_start,max_memory,memory_sampling_mode,number_of_episodes,number_of_images,optimizer,out_dir,role_mode,seed,sender_type,shared_embedding,shared_experience,temperature,vocabulary_size,image_shape,exit_status,final_episode,mean_success,n_frequent_symbols
reinforce,30,30,data/big/mcrae-wordnet-vgg16.32bit,20000,8000,50,0.999,0.005,1,5000,uniform,40000,2,adam,models/e1-explore-temp-210519-222000,static,1,agnostic,True,False,50,50,[1000],full,10000,0.8665,2
reinforce,30,30,data/big/mcrae-wordnet-vgg16.32bit,20000,8000,50,0.999,0.005,1,5000,uniform,40000,2,adam,models/e4-switch-2img-210523-142302,switch,333,agnostic,True,False,50,50,[1000],full,10000,0.8917,2
reinforce,30,30,data/big/mcrae-wordnet-vgg16.32bit,20000,8000,50,0.999,0.005,1,5000,uniform,40000,2,adam,models/e4-switch-2img-210524-124621,switch,22,agnostic,True,True,50,50,[1000],full,10000,0.9176,4
