,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
0,1,0,[13683  8021 15236 50168 26469 29799],26,3,False,0.0,0.0
1,2,0,[20507 23919 42139 34478 31012 38272],16,0,True,3.9044508934020996,1.791736364364624
2,3,0,[ 4714 38369 17403 25246 34599 10524],40,5,False,0.0,0.0
3,4,0,[16612  6351 17706 26609 22535 23838],49,3,False,0.0,0.0
4,5,0,[38721 31199  3543 23640 15085 28316],41,1,False,0.0,0.0
5,6,0,[22125  9289 22404 26752 19181 25026],15,4,True,3.926262378692627,1.79179048538208
6,7,0,[46094 27218 51882  5601 21552 25797],2,3,False,0.0,0.0
7,8,0,[38206 35158 50474 19275  6812  6283],22,3,False,0.0,0.0
8,9,0,[44305 27772  8446 26275 15103 44743],16,0,False,0.0,0.0
9,10,0,[ 4447 25611 44097 39074 39802 13229],49,5,False,0.0,0.0
10,11,0,[33173 47349 32868 17221 33641 49287],41,5,False,0.0,0.0
11,12,0,[ 3337 14319 19550 29259 13731 17725],48,4,False,0.0,0.0
12,13,0,[45623  5723  2556  6988 36073 11213],48,2,False,0.0,0.0
13,14,0,[10540 28769 43467 29570 45194 52348],29,1,False,0.0,0.0
14,15,0,[15632 42306 24031 34681 17373 15275],5,5,False,0.0,0.0
15,16,0,[18462 43666 19797 47191 33816 39003],6,1,False,0.0,0.0
16,17,0,[10845 40861 45126 23116 43214 28518],36,2,False,0.0,0.0
17,18,0,[41752 20238 40473 51976 16209   584],29,5,True,4.016117095947266,1.791749119758606
18,19,0,[ 6822 28526 45743 50269 24017  3841],3,1,False,0.0,0.0
19,20,0,[22326 19038 34931 30065 21330  1041],7,3,False,0.0,0.0
20,21,0,[10302 33206 31360  1180 11364 12915],9,4,False,0.0,0.0
21,22,0,[  596 26703 47102 52253 46077 33914],47,5,False,0.0,0.0
22,23,0,[ 1323 47336 23077 39099 12963 51966],37,1,False,0.0,0.0
23,24,0,[28315 43168  7521 38999 48680 27980],19,4,False,0.0,0.0
24,25,0,[17356 45211 16360 16409 41444 28729],29,5,False,0.0,0.0
25,26,0,[12664 20413 37660 12004 19604 50539],14,5,True,4.055957794189453,1.791719913482666
26,27,0,[41405 34772 37148 21035 12328 34445],14,2,False,0.0,0.0
27,28,0,[13468 25368  3295  1263 44959 22673],49,5,True,4.059615612030029,1.7917166948318481
28,29,0,[41561 19137 50641 43564  8617 50998],20,5,False,0.0,0.0
29,30,0,[17908 48724 42251  9808 38631 22121],36,0,True,4.068237781524658,1.7919037342071533
0,31,1,[46402 33345  1131 44161 15662 23255],46,0,False,0.0,0.0
1,32,1,[20748 44328 11145 40693 35959 23778],47,0,True,3.909862756729126,1.7919827699661255
2,33,1,[51142 24138 50862 45188 12473 22372],29,2,False,0.0,0.0
3,34,1,[ 2430 21726 27348 12260 33708 39485],7,0,False,0.0,0.0
4,35,1,[12030 30336  6939 44602  5289 27104],11,5,False,0.0,0.0
5,36,1,[25191 42499 12547 10948 35561 22863],4,0,False,0.0,0.0
6,37,1,[46045 28617 35835 48688 32804 49489],13,0,False,0.0,0.0
7,38,1,[ 8478 13327 40800  2168  3403 51846],17,3,False,0.0,0.0
8,39,1,[ 1238 49058 40630 13993 35636 20735],2,2,False,0.0,0.0
9,40,1,[46670 45427 32315 13082 12498 48384],14,4,False,0.0,0.0
10,41,1,[35668 15163  1291  2438    62 21691],0,3,False,0.0,0.0
11,42,1,[20799 38788 46536  6060  9030  4895],34,4,False,0.0,0.0
12,43,1,[20597  6958 23059 46112 32508 37923],19,1,True,4.004495620727539,1.7918729782104492
13,44,1,[ 6500 31660 37244 23992  5980  4135],31,0,False,0.0,0.0
14,45,1,[19935 47536 31863 52023 25348 37642],23,2,False,0.0,0.0
15,46,1,[37435 14763 40885 17410 10907 20225],47,4,False,0.0,0.0
16,47,1,[25922 23948 48868  3801 51800 46063],5,0,False,0.0,0.0
17,48,1,[45467 11679 43092 12385 48814 43487],11,4,False,0.0,0.0
18,49,1,[21930  2651 40176 14153   865 23574],10,5,False,0.0,0.0
19,50,1,[ 4085 38292  9697 13942 43991 17428],45,1,False,0.0,0.0
20,51,1,[ 8014  3594 11657 43163 47553 14357],47,0,False,0.0,0.0
21,52,1,[32801 45804 50087 12146  2204 15442],22,1,False,0.0,0.0
22,53,1,[37948 25674 17755   550 39700 24034],0,0,False,0.0,0.0
23,54,1,[45619 50487 12039 10177 30510 38866],6,5,False,0.0,0.0
24,55,1,[ 2745 28259 48566  8992  7832  8229],44,3,False,0.0,0.0
25,56,1,[41800 17414  1400 34064 49378 14353],13,3,False,0.0,0.0
26,57,1,[16220  5234 39287  2209 31252 47940],4,0,False,0.0,0.0
