,episode,batch_success,agent1_sender_loss,agent2_sender_loss,agent1_receiver_loss,agent2_receiver_loss
0,30,0.3333333333333333,0.12115678936243057,,,0.5846685171127319
1,60,0.4666666666666667,0.12875840067863464,,,0.6208487749099731
2,90,0.2,0.10827898979187012,,,0.5479968786239624
3,120,0.26666666666666666,0.11016880720853806,,,0.5661264657974243
4,150,0.23333333333333334,0.10520073771476746,,,0.5567284226417542
5,180,0.36666666666666664,0.10725799947977066,,,0.5933096408843994
6,210,0.3,0.09845468401908875,,,0.574970006942749
7,240,0.3,0.09078634530305862,,,0.5750438570976257
8,270,0.26666666666666666,0.08083532005548477,,,0.5656632781028748
9,300,0.23333333333333334,0.07223785668611526,,,0.5566304326057434
10,330,0.13333333333333333,0.06857458502054214,,,0.5297300815582275
11,360,0.26666666666666666,0.06993940472602844,,,0.5655452013015747
12,390,0.26666666666666666,0.07296522706747055,,,0.5647537112236023
13,420,0.36666666666666664,0.0779794231057167,,,0.5915805697441101
14,450,0.23333333333333334,0.07987246662378311,,,0.5568220615386963
15,480,0.23333333333333334,0.08329295367002487,,,0.5565344095230103
16,510,0.26666666666666666,0.08715447038412094,,,0.5655034780502319
17,540,0.26666666666666666,0.089669369161129,,,0.5639459490776062
18,570,0.26666666666666666,0.09148604422807693,,,0.5651867985725403
19,600,0.3,0.09368319809436798,,,0.5742501616477966
20,630,0.3,0.0941760316491127,,,0.5736873149871826
21,660,0.16666666666666666,0.08985015749931335,,,0.5379539132118225
22,690,0.3333333333333333,0.09491224586963654,,,0.5831961035728455
23,720,0.2,0.08998899161815643,,,0.5471971035003662
24,750,0.26666666666666666,0.09103349596261978,,,0.5649575591087341
25,780,0.23333333333333334,0.08892592042684555,,,0.5554790496826172
26,810,0.36666666666666664,0.09100856631994247,,,0.5919903516769409
27,840,0.13333333333333333,0.08329465985298157,,,0.5293451547622681
28,870,0.26666666666666666,0.08493013679981232,,,0.5646111965179443
29,900,0.16666666666666666,0.08181044459342957,,,0.5377748608589172
30,930,0.26666666666666666,0.0832371860742569,,,0.5646301507949829
31,960,0.3333333333333333,0.08409061282873154,,,0.5811814665794373
32,990,0.3333333333333333,0.08357325941324234,,,0.5820130705833435
33,1020,0.2,0.08023246377706528,,,0.5472355484962463
34,1050,0.3,0.08168644458055496,,,0.5730206966400146
35,1080,0.23333333333333334,0.08059148490428925,,,0.5550320744514465
36,1110,0.26666666666666666,0.08154726028442383,,,0.5647004246711731
37,1140,0.23333333333333334,0.08157184720039368,,,0.5558181405067444
38,1170,0.23333333333333334,0.08255531638860703,,,0.5552600622177124
39,1200,0.1,0.08096006512641907,,,0.5207264423370361
40,1230,0.26666666666666666,0.08639030903577805,,,0.5637639164924622
41,1260,0.3,0.0889955386519432,,,0.5734016299247742
42,1290,0.26666666666666666,0.08909465372562408,,,0.563592791557312
43,1320,0.23333333333333334,0.08859226852655411,,,0.5552182793617249
44,1350,0.26666666666666666,0.08983985334634781,,,0.5652324557304382
45,1380,0.23333333333333334,0.08869018405675888,,,0.5564828515052795
46,1410,0.3,0.09005136042833328,,,0.57387375831604
47,1440,0.3333333333333333,0.08984263986349106,,,0.5822686553001404
48,1470,0.3333333333333333,0.08805333077907562,,,0.5823076963424683
49,1500,0.3333333333333333,0.08537955582141876,,,0.5803125500679016
50,1530,0.23333333333333334,0.0807475596666336,,,0.5560844540596008
51,1560,0.4,0.08086153119802475,,,0.5978651642799377
52,1590,0.36666666666666664,0.07770439982414246,,,0.5904799699783325
53,1620,0.06666666666666667,0.0721665471792221,,,0.5116034150123596
54,1650,0.26666666666666666,0.07486404478549957,,,0.5642953515052795
55,1680,0.16666666666666666,0.0753827765583992,,,0.5375389456748962
56,1710,0.26666666666666666,0.07946810871362686,,,0.5628582239151001
57,1740,0.26666666666666666,0.08292336016893387,,,0.5643669366836548
58,1770,0.3,0.0862489864230156,,,0.572733998298645
59,1800,0.23333333333333334,0.08663509041070938,,,0.5546173453330994
